T1,H1,S1,G1,F1,T2,H2,S2,G2,F2,T3,H3,S3,G3,F3,T4,H4,S4,G4,F4,CLASS_LABEL
32.91,69.9,0.0,0.0,0.0,34.24,68.74,0.0,0.0,0.0,30.51,74.86,0.0,55.0,0.0,31.46,69.32,0.0,5.0,0.0,0.0
30.51,68.15,0.0,0.0,0.0,30.0,68.75,0.0,0.0,0.0,30.53,66.62,0.0,54.0,0.0,32.98,64.57,0.0,0.0,0.0,0.0
30.19,70.97,0.0,0.0,0.0,29.39,69.87,0.0,0.0,0.0,30.13,69.3,0.0,54.0,0.0,32.08,65.03,0.0,0.0,0.0,0.0
30.57,68.34,0.0,7.0,0.0,30.19,69.3,0.0,0.0,0.0,30.75,66.39,0.0,54.0,0.0,33.15,64.97,0.0,0.0,0.0,0.0
33.39,70.68,0.0,0.0,0.0,33.09,72.56,0.0,0.0,0.0,38.12,51.92,0.0,51.0,0.0,52.66,30.25,0.0,0.0,2926.0,1.0
32.65,69.53,0.0,0.0,0.0,32.92,68.95,0.0,0.0,0.0,30.68,74.53,0.0,48.0,0.0,32.41,67.3,0.0,0.0,0.0,0.0
61.52,18.37,0.0,16.0,0.0,36.41,51.52,0.0,0.0,0.0,33.59,61.3,0.0,0.0,1925.0,34.22,100.0,0.0,25.0,0.0,1.0
40.21,51.99,0.0,0.0,0.0,41.23,42.79,0.0,0.0,0.0,41.41,44.62,0.0,4.0,0.0,45.52,34.67,0.0,10.0,0.0,1.0
35.67,61.32,0.0,5.0,0.0,45.74,35.97,0.0,1.0,1641.0,35.39,59.64,0.0,16.0,3281.0,37.39,51.73,0.0,25.0,0.0,1.0
47.42,38.22,0.0,0.0,2607.0,40.86,44.86,0.0,0.0,0.0,39.82,51.28,0.0,14.0,0.0,40.88,47.42,0.0,16.0,0.0,1.0
34.18,56.65,0.0,17.0,0.0,33.46,59.65,0.0,0.0,0.0,34.52,53.42,0.0,6.0,2597.0,47.6,34.08,0.0,16.0,0.0,1.0
29.09,71.42,0.0,0.0,0.0,29.52,68.48,0.0,0.0,0.0,30.2,67.18,0.0,55.0,0.0,32.79,63.82,0.0,0.0,0.0,0.0
33.5,70.51,0.0,0.0,0.0,33.08,72.28,0.0,0.0,0.0,36.91,55.17,0.0,53.0,0.0,52.58,27.99,0.0,0.0,0.0,1.0
32.49,73.33,0.0,0.0,0.0,32.68,73.54,0.0,0.0,0.0,53.62,30.34,0.0,29.0,0.104,33.63,68.48,0.0,0.0,0.0,1.0
30.32,67.94,0.0,10.0,0.0,29.86,68.42,0.0,0.0,0.0,30.36,66.63,0.0,52.0,0.0,32.81,64.22,0.0,0.0,0.0,0.0
32.55,69.69,0.0,0.0,0.0,32.73,69.6,0.0,0.0,0.0,30.87,74.06,0.0,49.0,0.0,32.92,65.88,0.0,0.0,0.0,0.0
30.48,67.88,0.0,11.0,0.0,29.98,68.57,0.0,0.0,0.0,30.48,66.51,0.0,54.0,0.0,32.92,64.37,0.0,0.0,0.0,0.0
32.72,69.47,0.0,0.0,0.0,33.05,68.72,0.0,0.0,0.0,30.58,74.76,0.0,51.0,0.0,32.0,68.3,0.0,0.0,0.0,0.0
33.67,70.06,0.0,0.0,0.0,33.18,72.25,0.0,0.0,0.0,36.33,56.83,0.0,59.0,0.0,51.01,29.66,0.0,0.0,0.0,1.0
30.07,70.94,0.0,0.0,0.0,29.5,69.8,0.0,0.0,0.0,30.03,69.86,0.0,54.0,0.0,32.33,65.03,0.0,0.0,0.0,0.0
30.44,68.27,0.0,6.0,0.0,30.01,68.91,0.0,0.0,0.0,30.57,66.5,0.0,52.0,0.0,33.08,64.7,0.0,0.0,0.0,0.0
32.24,70.07,0.0,0.0,0.0,32.47,70.69,0.0,0.0,0.0,31.72,71.36,0.0,50.0,0.0,34.28,61.55,0.0,0.0,0.0,0.0
30.35,67.88,0.0,5.0,0.0,29.88,68.47,0.0,0.0,0.0,30.39,66.57,0.0,55.0,0.0,32.87,64.25,0.0,0.0,0.0,0.0
35.38,61.57,0.0,0.0,3135.0,42.77,41.84,0.0,0.0,4066.0,34.9,60.54,0.0,13.0,4006.0,37.37,51.97,0.0,31.0,1362.0,1.0
34.23,56.63,0.0,17.0,0.0,33.5,59.63,0.0,0.0,0.0,34.49,53.6,0.0,1.0,2575.0,49.78,31.04,0.0,38.0,0.0,1.0
32.23,70.05,0.0,1.0,0.0,32.46,70.74,0.0,0.0,0.0,31.8,71.0,0.0,48.0,0.0,34.38,61.18,0.0,0.0,0.0,0.0
